horse_name,horse_home,horse_sex,horse_dob,horse_age,horse_class,horse_group,horse_trainer,horse_owner,horse_dad,horse_mom,race_count,first,second,one_yr_count,one_yr_first,one_yr_second,horse_earned_money,horse_rating,horse_price
글로벌조이,미,암,2017/04/04,3,외4,10,정호익,장재형,IMAGINING,SHEKEEPSHERBOOTSON,3,1,0,3,1,0,46950000,46, 0
글로벌천하,한,수,2016/05/23,4,국4,28,최상식,장재형,포리스트캠프,블랙선더,14,2,1,10,1,1,77880000,43, 0
글로벌축제,한,수,2016/04/19,4,국2,28,최상식,장재형,록하드텐,스핀업,10,5,0,6,2,0,595150000,73, 0
글로벌캡틴,미,수,2016/04/21,4,외1,10,정호익,장재형,MUNNINGS,QUEEN MERCURY,12,7,1,8,3,1,449250000,115, 0
글로벌퀸,한,암,2014/03/16,6,국3,28,최상식,장재형,엑스플로잇,남도명장,15,3,4,7,1,0,168900000,59, 0
글로벌파티,미,수,2017/04/16,3,외3,28,최상식,장재형,COMPETITIVE EDGE,NOTATION,4,1,1,4,1,1,57150000,51, 0
금강봉,한,암,2017/05/21,3,국미,41,신삼영,오종환,엑톤파크,허니케익스,0,0,0,0,0,0,0,,0
금노래,한,암,2016/02/27,4,국6,27,박병일,배태곤,테스타마타,어키쓰윈,9,0,1,9,0,1,5040000,,0
금당나래,한,암,2017/03/17,3,국6,26,안해양,공이공팔,엑톤파크,유어텀,0,0,0,0,0,0,0,,0
금로열,한,수,2016/03/20,4,국3,05,우창구,배태곤,채플로열,싱그러운초원,10,3,3,9,3,2,114400000,52, 0
금백조,한,암,2017/05/09,3,국미,99,휴양마,박세용,록하드텐,퍼펙트실렉션,0,0,0,0,0,0,0,,0
금빛여왕,미,암,2017/02/25,3,외4,42,이관호,최경미,MIDSHIPMAN,BINT ELUSIVE,2,0,0,2,0,0,0,37, 0
금빛열정,한,암,2016/04/10,4,국4,42,이관호,이경희,클리어어템프트,금빛물결,11,1,0,9,1,0,39080000,36, 0
금빛장인,한,수,2016/05/05,4,국3,22,안병기,박남성,메니피,서미트파티,6,4,0,4,3,0,135600000,58, 0
금빛탄환,한,수,2016/03/29,4,국5,42,이관호,박재범,티즈원더풀,금빛천사,14,0,1,10,0,1,21640000,21, 50000
금상천하,한,수,2016/03/24,4,국6,54,박천서,민규동,니혼필로닐,동진태후,6,0,0,6,0,0,0,,0
금석돌파,미,거,2016/04/04,4,외3,53,김동철,유희태,SUCCESSFUL APPEAL,BLUESTEM MEADOW,11,2,0,7,1,0,80550000,52, 0
금성스타,한,암,2017/02/16,3,국6,02,손영표,조창규,클리어어템프트,대륙강자,1,0,0,1,0,0,0,,0
금성에이스,한,암,2017/02/19,3,국6,33,서인석,조창규,컬러즈플라잉,리비어덕션,1,0,0,1,0,0,2400000,,0
금성여왕,미,암,2015/04/23,5,외4,02,손영표,조창규,GREAT NOTION,SCOT SPARKLE,17,2,0,10,2,0,79550000,49, 0
금성차밍,한,수,2017/05/20,3,국6,99,휴양마,조창규,록하드텐,블루차밍,2,0,0,2,0,0,0,,0
금성황제,한,수,2016/04/09,4,국3,99,휴양마,조창규,스트라이크어게인,베씸,11,3,3,7,2,2,132600000,53, 0
금순이스타,한,수,2016/05/11,4,미,27,박병일,배태곤,메니피,금순이,14,1,2,11,1,2,58640000,36, 0
금아로버스트,한,암,2017/06/09,3,국6,14,이신영,금아산업(주),엑톤파크,금아빅토리아,1,0,0,1,0,0,0,,0
금아마이티,한,수,2017/03/16,3,국6,14,이신영,금아산업(주),메니피,어니터매든,0,0,0,0,0,0,0,,0
금아매저스티,한,수,2016/04/01,4,국6,99,휴양마,금아산업(주),한센,카슨시티댄서,6,0,1,6,0,1,10370000,,0
금아슈프림,한,거,2016/02/11,4,국4,54,박천서,금아산업(주),엑톤파크,선셋키,11,1,2,10,1,2,40880000,39, 0
금아애자일,미,거,2017/03/29,3,외4,99,휴양마,금아산업(주),SHACKLEFORD,SARAHCAROLU,3,1,1,3,1,1,56850000,5, 0
금아애크미,한,수,2016/02/22,4,국4,42,이관호,금아산업(주),홍지,미스트래블린,8,3,0,6,3,0,74680000,5, 0
금아어누이티,미,거,2015/05/08,5,외4,54,박천서,금아산업(주),YES IT'S TRUE,WEET ANNUITY,14,0,3,6,0,1,51600000,48, 67222
금아인빈서블,한,수,2016/03/28,4,국5,05,우창구,금아산업(주),메니피,커맨드엔드호프,2,1,0,2,1,0,13680000,29, 0
금아임패커블,한,거,2016/04/08,4,국6,20,배대선,금아산업(주),메니피,미스지알러지,4,0,0,4,0,0,0,,0
금아제니스,한,수,2016/04/06,4,국3,05,우창구,금아산업(주),한센,쇼우미더러브,13,3,2,7,2,1,114280000,53, 0
금아콜로설,한,수,2017/02/26,3,국6,14,이신영,금아산업(주),티즈원더풀,골든챔피언,1,0,0,1,0,0,3000000,,0
금아키튼,한,수,2017/04/01,3,국5,14,이신영,금아산업(주),오피서,스톰캣츠키튼,3,1,0,3,1,0,45000000,33, 0
금아킹덤,한(포),수,2016/03/27,4,국3,37,심승태,금아산업(주),ANIMAL KINGDOM,엘리사타운,15,2,4,9,0,2,152400000,56, 0
금아팔콘,일,거,2015/01/25,5,외4,37,심승태,금아산업(주),SMART FALCON,쿨리스데프레이즈,9,0,1,4,0,0,18600000,42,283974
금아플로러스,한,수,2017/03/20,3,국6,99,휴양마,금아산업(주),메니피,디렉션,3,0,1,3,0,1,15600000,,0
금아홀섬,미,거,2016/02/22,4,외3,99,휴양마,금아산업(주),GEMOLOGIST,DREAMCASTER,8,3,1,7,3,1,146550000,63, 0
금자유,미,암,2017/02/20,3,외4,27,박병일,배태곤,MORNING LINE,FREEDOM FIRE,5,1,1,5,1,1,54600000,48, 0
급행마,한,수,2016/03/13,4,국4,42,이관호,박남성,한센,캔들글로우,14,1,3,8,1,1,44400000,36, 0
기동대장,한,거,2015/03/20,5,국3,99,휴양마,박남성,테스타마타,스트리트어브피스,24,4,2,9,2,1,170650000,61, 0
기로,한,암,2016/04/15,4,국5,23,유재길,전기섭,엑스플로잇,기반,12,1,0,12,1,0,23760000,27, 0
기븐러너,한,수,2016/04/26,4,국5,22,안병기,이재진,애니기븐새터데이,미스트러블,10,1,0,8,1,0,20480000,29,3000
기븐위켄드,한,거,2016/03/25,4,국4,45,김순근,배선규,애니기븐새터데이,머니퀸,11,2,1,5,0,1,50680000,43, 0
깨우침,한,수,2016/05/07,4,국6,22,안병기,우태율,테스타마타,여의골드,8,0,0,5,0,0,4850000,,0
꼬꼬마레이디,한,암,2016/04/03,4,국6,26,안해양,신기철,어플리트어게인,셈바왕,15,0,0,15,0,0,8640000,,0
꿈가득,한,암,2017/02/20,3,국미,19,곽영효,김용재,애니기븐새터데이,테일스트,0,0,0,0,0,0,0,,0
나는스타,미,암,2017/02/13,3,외4,52,김동균,길용우,LOOKIN AT LUCKY,GOLDSPUN,3,0,2,3,0,2,31950000,45, 0
나스카프린스,한,수,2014/02/25,6,국1,40,송문길,(주)나스카,비카,로사로즈,21,6,5,8,1,0,395350000,91, 0
나우퀸,한(포),암,2017/02/20,3,국미,26,안해양,최동근,ALTERNATION,패전트리,0,0,0,0,0,0,0,,0
나의신화,한,수,2017/04/29,3,국6,99,휴양마,박복용,올드패션드,다이아걸,2,0,0,2,0,0,4000000,,0
나의전설,한,수,2017/03/30,3,국6,40,송문길,박복용,올드패션드,금빛환희,2,0,1,2,0,1,16600000,,0
날아라힐,한,암,2016/02/23,4,국4,99,휴양마,최상기,컬러즈플라잉,라비치스,11,2,1,9,2,1,75580000,43, 0
남원퀸,한,암,2014/03/19,6,국5,99,휴양마,이창모,커멘더블,와이어덕,30,1,3,9,0,0,60800000,21, 0
남쪽나라,한,암,2015/03/07,5,국5,49,지용철,김종식,메이세이오페라,대흥사,30,1,1,15,1,0,64640000,27, 0
남촌데이,미,거,2016/03/10,4,외4,99,휴양마,남승현,ITSMYLUCKYDAY,CLEVER GRETEL,7,1,0,5,1,0,36600000,45, 0
남촌아티스트,미,수,2015/03/08,5,외3,18,박대흥,남승현,HAYNESFIELD,HOLLADAY DIXIE,14,2,2,6,0,1,105900000,61, 0
낭만스타,한,거,2014/05/01,6,국4,26,안해양,지원철,볼포니,낭만질주,36,1,3,11,1,1,75800000,36, 0
내길의축복,한,암,2017/03/25,3,국6,18,박대흥,유종국,포리스트캠프,댄징샐리,0,0,0,0,0,0,0,,0
넌감동이야,한(포),거,2014/04/11,6,국1,99,휴양마,우태율,SCIPION,프렌치내니,30,4,4,9,0,1,258750000,81,100000
넘버원타깃,한,암,2017/04/06,3,국6,21,임봉춘,태립,한센,나우어데이즈,3,0,0,3,0,0,4000000,,0
네버워크얼론,한(포),수,2017/02/19,3,국6,16,최봉주,김정철,WARRIOR'S REWARD,스캣대디스브리즈,3,0,0,3,0,0,5500000,,0
녹두장수,한,수,2017/05/18,3,국미,09,강성오,이관형,피스룰즈,더블즈릴리,0,0,0,0,0,0,0,,0
녹리총,한,암,2017/02/23,3,국6,40,송문길,이긍열,선더모카신,총알처럼,2,0,0,2,0,0,0,,7300
논스톱위닝,한,거,2016/02/28,4,국6,23,유재길,오왕근,어플리트어게인,남행열차,2,0,0,1,0,0,5200000,,0
논스톱행진,한,암,2016/05/15,4,국5,23,유재길,태립,컬러즈플라잉,밸리드퀘스트,11,1,0,11,1,0,15680000,24, 20000
놀부천하,한,수,2017/05/29,3,국5,49,지용철,박시용,컬러즈플라잉,천억이,6,1,1,6,1,1,28640000,32, 0
농본대로,한,거,2015/03/19,5,국3,20,배대선,김용래,천년대로,말순이,19,6,1,3,0,0,216460000,6, 0
농본락,한,암,2017/04/08,3,국6,99,휴양마,김용래,애니기븐새터데이,클레이사격,2,0,0,2,0,0,0,,0
농부의수채화,한,암,2016/05/12,4,국5,09,강성오,이관형,엑스플로잇,정읍사랑,6,0,2,6,0,2,17870000,28, 0
뇌성벽력,한,거,2016/03/25,4,국5,33,서인석,홍상기,채플로열,달구비,13,0,0,10,0,0,22240000,27, 0
눈부신한센,한,암,2017/05/10,3,국4,45,김순근,이장한,한센,부신다,4,2,1,4,2,1,76800000,38, 0
눈빛언약,한,수,2016/05/01,4,국5,54,박천서,한명로,티즈원더풀,당찬아이,4,1,0,4,1,0,18950000,29, 0
뉴문워리어,한,거,2017/02/14,3,국4,40,송문길,최종환,피스룰즈,뉴문온먼데이,3,2,1,3,2,1,68800000,41, 0
뉴비기닝,한,암,2017/01/26,3,국6,99,휴양마,김종진,피스룰즈,코리아넘버원,3,0,0,3,0,0,0,,0
뉴시타델,미,수,2014/03/14,6,외1,29,배휴준,이성재,위드디스팅션,리엔센,19,6,3,6,0,0,517350000,1, 0
뉴패러다임,한,암,2016/03/29,4,국4,29,배휴준,오상철,클리어어템프트,도로시,8,1,2,4,1,2,48000000,41, 0
늘새찬,한,암,2015/03/18,5,국5,99,휴양마,안태건,백광,맥스비어,11,1,0,7,0,0,41000000,28,1000
늘차오름,한,수,2017/03/12,3,국6,99,휴양마,김경민,피스룰즈,스마트어드바이스,1,0,0,1,0,0,3000000,,0
늘푸른캣,한,수,2015/04/03,5,국3,13,이희영,(주)늘푸른목장,스트롬버그칼슨,넬리트렌트,11,4,3,11,4,3,155530000,6, 0
능력시대,한,암,2015/03/03,5,국3,23,유재길,허건호,선더모카신,찬란한햇살,23,4,1,11,1,0,157930000,55, 0
님의향기,한,수,2016/05/07,4,국3,30,토니,한명로,포리스트캠프,빅터우먼,15,3,3,12,2,2,168950000,56, 0
다나은석세스,한,거,2017/03/22,3,국6,99,휴양마,이진경,클리어어템프트,홀리워크,2,0,1,2,0,1,5040000,,0
다다비,미,거,2016/05/05,4,외4,02,손영표,김재용,투아너앤드서브,RIVOLTELLA,12,0,0,11,0,0,9800000,36, 0
다비키,미,거,2015/01/24,5,외4,43,서정하,구본순,GHOSTZAPPER,DISTORTED LOVE,10,0,1,3,0,0,30600000,44, 0
