num_clusters,mae
10,162.2952815116585
15,50.578476410133476
20,25.786175509894473
25,65.18031112701367
30,101.67592311633697
35,73.80614428070116
40,8.22583934141951
45,35.64891092887474
50,8.87155709867459
55,55.042182541199374
60,17.67528867394203
65,26.809537179923133
70,38.14105881526473
75,7.4920056401171
80,54.25730600660806
85,7.912262505887907
90,38.00246505977172
95,12.032837984776666
100,18.18262675287149
105,38.489026635832126
110,32.2127467157437
115,23.457454735277384
120,11.230155011169586
125,7.940011392524252
130,40.63349025835218
135,36.98757270542937
140,8.286963210526915
145,8.78286924047436
150,7.478938036932436
155,66.71023343712599
160,20.86745299844456
165,11.78632033068609
170,11.560134010695606
175,10.233670498290985
180,9.928682099283105
185,16.014357549773717
190,23.394967519367402
195,9.75391494359062
200,19.491013926762047
205,25.57922203858566
210,26.665051922239762
215,42.326385072908444
220,25.048752339504766
225,8.128089846277884
230,8.969347507753309
235,7.379045881620345
240,9.569309011652535
245,22.55479981037529
250,7.54514376525392
255,21.470873520145165
260,16.734443187851205
265,16.527932757336863
270,7.525397491279591
275,6.866020749317636
280,15.293145923879615
285,7.689556605780171
290,7.190014002997396
295,7.116140123942614
300,13.407088482252266
305,18.853268138805127
310,9.360601486596398
315,7.080574086189745
320,8.189643860024853
325,7.508028890631158
330,13.626416557592984
335,7.794561509924097
340,8.354115556251168
345,7.127884803945039
350,7.353720994926721
355,9.627493067359774
360,10.033654636944288
365,7.165403260539574
370,11.66854231508662
375,7.4672293988526
380,7.196115020465731
385,8.654120387688682
390,8.070228008099003
395,7.126208317601981
400,7.9231900957178825
405,13.587630759575722
410,8.302918425681991
415,6.960324479270843
420,9.885688401760763
425,8.68846024252323
430,17.04289215898448
435,12.00764409822034
440,6.9783943934436365
445,12.02644587758898
450,7.399653092833182
455,7.701947512681204
460,14.180544648648288
465,9.712301702935473
470,8.574459244117133
475,11.255314774155318
480,8.999073550676167
485,11.453793945053917
490,6.7685634956116925
495,11.00022739524054
500,8.765890272501201
505,7.75386418795515
