date,race_num,race_meter,race_lane_condition,weather,rank,horse_num,horse_name,horse_home,horse_sex,horse_age,horse_weight,rating,jockey_name,trainer_name,owner_name,single_odds,double_odds
2020-02-22,1.0,1200.0,15.0,,1.0,8.0,롱가이,한,수,3.0,56.0,,이현종,박대흥,남승현,3.3,1.3
2020-02-22,1.0,1200.0,15.0,,2.0,5.0,백산선더,한,암,3.0,54.0,,안토니오,리카디,이용식,4.1,1.5
2020-02-22,1.0,1200.0,15.0,,3.0,2.0,하이퍼카,한,수,3.0,56.0,,이동하,배대선,장석은,7.2,1.6
2020-02-22,1.0,1200.0,15.0,,4.0,4.0,티즈블랙,한,수,3.0,56.0,,최범현,우창구,유길상,2.1,1.1
2020-02-22,1.0,1200.0,15.0,,5.0,6.0,원더풀라이트,한,암,3.0,54.0,,문정균,최상식,변갑한,117.6,8.6
2020-02-22,1.0,1200.0,15.0,,6.0,10.0,강한여전사,한,암,3.0,54.0,,김용근,신삼영,조창규,35.0,4.8
2020-02-22,1.0,1200.0,15.0,,7.0,9.0,천마여제,한,암,3.0,52.0,,문성혁,서인석,천병득,169.9,35.1
2020-02-22,1.0,1200.0,15.0,,8.0,12.0,에이스함성,한,수,3.0,56.0,,송재철,이관호,황의영,129.2,15.1
2020-02-22,1.0,1200.0,15.0,,9.0,3.0,티케파이어,한,수,3.0,56.0,,이혁,최영주,손병현,87.4,12.5
2020-02-22,1.0,1200.0,15.0,,10.0,7.0,율도장사,한,암,3.0,54.0,,조상범,서정하,공이공팔,105.7,10.9
2020-02-22,1.0,1200.0,15.0,,11.0,1.0,통일질주,한,거,3.0,56.0,,유승완,곽영효,박흥길,56.2,6.7
2020-02-22,1.0,1200.0,15.0,,11.0,11.0,애니티즈,한,거,3.0,56.0,,이해동,박병일,지원철,11.0,11.0
2020-02-22,2.0,1200.0,15.0,,1.0,1.0,청담컬링,한,수,3.0,56.0,,김용근,강환민,삼정,5.4,1.6
2020-02-22,2.0,1200.0,15.0,,2.0,10.0,빅페이스,한,수,3.0,56.0,,먼로,박윤규,이방훈,39.9,4.7
2020-02-22,2.0,1200.0,15.0,,3.0,7.0,파란왕자,한,수,3.0,56.0,,김동수,박병일,박기태,1.9,1.1
2020-02-22,2.0,1200.0,15.0,,4.0,12.0,샤인뮤직,한,암,3.0,54.0,,김정준,심승태,김용래,107.4,15.2
2020-02-22,2.0,1200.0,15.0,,5.0,11.0,큐피드비상,한,암,3.0,54.0,,다비드,서범석,서순배,8.2,1.8
2020-02-22,2.0,1200.0,15.0,,6.0,9.0,원더플레이스,한,암,3.0,54.0,,박태종,김순근,이장한,52.4,5.6
2020-02-22,2.0,1200.0,15.0,,7.0,2.0,서울크라운,한,수,3.0,56.0,,이동하,이관호,김진엽,3.4,1.5
2020-02-22,2.0,1200.0,15.0,,8.0,3.0,원퍼트,한,수,3.0,56.0,,안토니오,지용철,박시용,40.5,6.9
2020-02-22,2.0,1200.0,15.0,,9.0,8.0,빅토리질주,한,암,3.0,54.0,,문정균,최영주,손병현,51.4,5.2
2020-02-22,2.0,1200.0,15.0,,10.0,5.0,피엔에스노랑,한,거,3.0,56.0,,조상범,조현수,피엔에스커튼월,136.8,24.3
2020-02-22,2.0,1200.0,15.0,,11.0,6.0,장나들이,한,수,3.0,56.0,,이동국,서인석,이종욱,261.4,35.0
