date,race_num,race_meter,race_lane_condition,weather,rank,horse_num,horse_name,horse_home,horse_sex,horse_age,horse_weight,rating,jockey_name,trainer_name,owner_name,single_odds,double_odds
2020-02-22,1.0,1000.0,18.0,흐림,1.0,7.0,티즈시티,한,수,4.0,56.5,,안토니오,서인석,김병진,4.2,1.3
2020-02-22,1.0,1000.0,18.0,흐림,2.0,9.0,드림걸스,한,암,3.0,54.0,,최범현,우창구,드림커뮤니티,2.7,1.2
2020-02-22,1.0,1000.0,18.0,흐림,3.0,11.0,월드특급,한,거,3.0,56.0,,조상범,박종곤,김명식,75.3,12.1
2020-02-22,1.0,1000.0,18.0,흐림,4.0,1.0,논스톱위닝,한,거,4.0,56.5,,이혁,유재길,오왕근,3.7,1.4
2020-02-22,1.0,1000.0,18.0,흐림,5.0,12.0,그린챔프,한,암,3.0,54.0,,하정훈,홍대유,김재영b,69.9,7.9
2020-02-22,1.0,1000.0,18.0,흐림,6.0,3.0,베스트투어,한,수,3.0,56.0,,송재철,신삼영,베스트샤인조합,3.7,1.3
2020-02-22,1.0,1000.0,18.0,흐림,7.0,5.0,퀸라이언,한,암,3.0,54.0,,김동수,김동균,신우철,29.7,5.2
2020-02-22,1.0,1000.0,18.0,흐림,8.0,2.0,금당나래,한,암,3.0,54.0,,안효리,안해양,공이공팔,233.1,50.4
2020-02-22,1.0,1000.0,18.0,흐림,9.0,4.0,피엔에스굿,한,거,3.0,56.0,,조재로,배휴준,피엔에스홈즈,392.6,63.5
2020-02-22,1.0,1000.0,18.0,흐림,10.0,10.0,미사일감동,한,수,3.0,56.0,,김덕현,김순근,이장운,150.7,19.6
2020-02-22,1.0,1000.0,18.0,흐림,11.0,6.0,어드밴스,한,암,3.0,54.0,,박태종,최봉주,김정철,38.4,6.1
2020-02-22,1.0,1000.0,18.0,흐림,12.0,8.0,세명룰즈,한,수,3.0,56.0,,유승완,신삼영,이기철,200.4,35.8
2020-02-22,2.0,1200.0,18.0,흐림,1.0,9.0,대지의여인,한,암,3.0,54.0,,이동하,강성오,김세민,3.8,1.7
2020-02-22,2.0,1200.0,18.0,흐림,2.0,6.0,해피플랜,한,암,3.0,54.0,,빅투아르,이희영,김재영a,7.5,1.7
2020-02-22,2.0,1200.0,18.0,흐림,3.0,12.0,울트라애니,한,암,3.0,54.0,,임기원,안병기,조명식,8.5,2.3
2020-02-22,2.0,1200.0,18.0,흐림,4.0,5.0,올드블레이드,한,암,3.0,54.0,,안토니오,리카디,김형란,2.9,1.5
2020-02-22,2.0,1200.0,18.0,흐림,5.0,1.0,미스엘리트,한,암,3.0,54.0,,송재철,서홍수,태희종합건설,33.4,5.6
2020-02-22,2.0,1200.0,18.0,흐림,6.0,11.0,안양호랑이,한,암,3.0,54.0,,이동진,홍대유,(주)에이에프피,37.8,8.7
2020-02-22,2.0,1200.0,18.0,흐림,7.0,10.0,프라우들리,한,암,3.0,54.0,,최범현,박종곤,김정철,11.0,2.7
2020-02-22,2.0,1200.0,18.0,흐림,8.0,4.0,로드로즈,한,암,3.0,54.0,,이혁,최용구,표종순,5.0,1.7
2020-02-22,2.0,1200.0,18.0,흐림,9.0,3.0,슈퍼파크,한,암,3.0,54.0,,조재로,배휴준,이성재,221.2,13.5
2020-02-22,2.0,1200.0,18.0,흐림,10.0,8.0,은혜파도,한,암,3.0,54.0,,박병윤,김동철,한종희,110.2,21.0
2020-02-22,2.0,1200.0,18.0,흐림,11.0,7.0,오피서커맨딩,한,암,3.0,54.0,,김동수,정호익,윤지중,56.1,24.7
